Tiempo,Precio
0,31815.25
5,31832.72
10,31845.66
15,31852.44
20,31866.01
25,31844.2
30,31810.0
35,31833.16
40,31796.15
45,31775.49
50,31814.9
55,31810.85
60,31739.95
65,31816.35
70,31724.0
75,31800.18
80,31862.51
85,31906.01
90,31923.01
95,31873.98
100,31882.81
105,31915.0
110,31862.48
115,31868.1
120,31892.92
125,31904.49
130,31842.03
135,31883.41
140,31903.21
145,31863.01
150,31821.57
155,31813.85
160,31862.6
165,31904.04
170,31896.84
175,31866.34
180,31862.67
185,31800.47
190,31751.93
195,31753.0
200,31793.93
205,31782.73
210,31806.52
215,31747.69
220,31739.58
225,31783.35
230,31746.92
235,31722.69
240,31707.82
245,31677.97
250,31723.37
255,31704.88
260,31650.85
265,31634.43
270,31625.77
275,31623.37
280,31607.94
285,31600.93
290,31593.0
295,31441.8
300,31451.7
305,31496.14
310,31486.1
315,31481.0
320,31557.88
325,31547.18
330,31527.51
335,31561.22
340,31557.6
345,31541.56
350,31546.99
355,31563.75
360,31555.93
365,31551.35
370,31505.05
375,31516.56
380,31440.0
385,31428.37
390,31563.74
395,31571.42
400,31574.31
405,31597.7
410,31629.67
415,31621.23
420,31607.73
425,31577.78
430,31614.97
435,31634.99
440,31568.21
445,31593.42
450,31575.9
455,31576.55
460,31570.0
465,31562.56
470,31588.57
475,31524.7
480,31555.96
485,31512.68
490,31500.0
495,31535.05
500,31549.69
505,31572.33
510,31469.12
515,31479.05
520,31477.34
525,31460.2
530,31474.02
535,31476.89
540,31490.81
545,31536.45
550,31545.15
555,31551.37
560,31583.49
565,31588.49
570,31574.69
575,31588.07
580,31600.26
585,31600.11
590,31597.57
595,31610.8
600,31597.99
605,31595.79
610,31653.26
615,31666.72
620,31661.4
625,31662.72
630,31668.67
635,31664.18
640,31669.92
645,31675.25
650,31639.31
655,31586.29
660,31615.0
665,31592.4
670,31574.87
675,31570.01
680,31568.67
685,31538.31
690,31541.43
695,31539.6
700,31527.1
705,31533.22
710,31520.26
715,31574.32
720,31637.53
725,31504.13
730,31518.98
735,31494.74
740,31551.05
745,31494.22
750,31437.46
755,31488.75
760,31561.76
765,31583.48
770,31609.11
775,31524.65
780,31535.01
785,31523.65
790,31574.99
795,31636.19
800,31612.12
805,31710.41
810,31761.93
815,31769.96
820,31703.4
825,31700.84
830,31678.09
835,31752.39
840,31798.77
845,31822.01
850,31807.67
855,31815.23
860,31766.41
865,31693.52
870,31722.69
875,31653.25
880,31678.0
885,31710.87
890,31725.26
895,31553.08
900,31510.56
905,31400.01
910,31435.09
915,31329.52
920,31250.0
925,31158.62
930,31141.49
935,31075.01
940,31232.17
945,31141.3
950,31105.73
955,31090.58
960,31162.08
965,31077.79
970,30943.79
975,30890.58
980,30818.43
985,30809.24
990,30759.26
995,30816.86
1000,30818.26
1005,30715.95
1010,30627.99
1015,30593.74
1020,30611.78
1025,30597.08
1030,30500.2
1035,30376.12
1040,30356.4
1045,30414.43
1050,30387.34
1055,30305.37
1060,30400.99
1065,30390.83
1070,30268.5
1075,30200.93
1080,30238.41
1085,30127.47
1090,29957.06
1095,30027.98
1100,29967.33
1105,30183.02
1110,30114.28
1115,30133.79
1120,30051.41
1125,30144.43
1130,30161.08
1135,30212.44
1140,30173.73
1145,30129.89
1150,30320.01
1155,30302.99
1160,30273.43
1165,30325.56
1170,30392.55
1175,30352.08
1180,30270.94
1185,30134.01
1190,30039.5
1195,30120.58
1200,30181.16
1205,30198.98
1210,30170.33
1215,30133.22
1220,30153.56
1225,30182.49
1230,30272.85
1235,30270.33
1240,30150.01
1245,30091.96
1250,30015.55
1255,29993.81
1260,29997.91
1265,29972.06
1270,29977.12
1275,29589.58
1280,29502.93
1285,29471.21
1290,29482.99
1295,29595.19
1300,29632.83
1305,29610.01
1310,29686.6
1315,29726.75
1320,29710.23
1325,29675.34
1330,29688.21
1335,29685.25
1340,29651.74
1345,29644.65
1350,29693.59
1355,29638.96
1360,29622.24
1365,29561.6
1370,29584.0
1375,29536.99
1380,29518.18
1385,29616.79
1390,29620.93
1395,29666.42
1400,29665.1
1405,29665.69
1410,29700.0
1415,29720.07
1420,29715.05
1425,29723.07
1430,29766.38
1435,30028.41
1440,29890.77
1445,29789.04
1450,29868.65
1455,29890.15
1460,29862.11
